,text,detection,location
2107,Whenever the nurses have a bad day they just keep needling people .,1,11
2108,He became a sky diver out of the blue .,1,9
2110,My friend lives by a cliff he ' s always telling me to drop over .,1,14
2111,"He hates his job selling used cars , but it ' s just his lot in life .",1,15
2113,A racehorse ' s life is always on track .,1,9
2114,"I couldn ' t decide whether or not to make spiced apple cider , so I mulled it over .",1,17
2116,"I can ' t recall the last time I did any running , but I ' ve been jogging my memory .",1,7
2117,People in medieval days were always hanging out by the gallows .,1,7
2118,The failure of the third largest manufacturer of baby ' s toys was enough to rattle the entire industry .,1,16
2120,The Transformer always had a lot of quarters with him . He was a big fan of change .,1,18
2121,"A butcher was trying so hard to be funny , but he just wasn ' t making the cut .",1,19
2124,At seven foot six he was a great basketball player and everyone looked up to him .,1,13
2125,Bowling Alley : Please be quiet . We need to hear a pin drop .,1,13
2126,The weigh - in at the Sumo wrestling tournament was a large scale effort .,1,13
2127,The forecaster was away because he was under the weather .,1,10
2129,A train load of paint derailed . Nearby businesses were put in the red .,1,14
2133,An elephant ' s opinion carries a lot of weight .,1,10
2134,Sign on a music store window : ' Come in and pick out a drum - - then beat it ! ',1,19
2135,My daughter ' s studying natural medicine and I ' m rooting for her .,1,12
2136,"I went to the theatre , it looked a bit suspicious . I reckon the whole thing was staged .",1,19
2138,He put bug spray on his watch to get rid of the ticks .,1,13
2139,The movie about the mobile home was advertised with a trailer .,1,11
2140,Officer Jones takes his yearly bath every June . He is a characteristic example of a dirty cop .,1,17
2141,"Life ' s a ledger , are we giving a good accounting of ourselves",1,10
2142,Employers like their mechanics to be geared up .,1,7
2147,Marconi was not wired up about going .,1,4
2148,Two duchesses were arguing about their husbands . They decided to duke it out .,1,12
2150,"Pick your friends , but not to pieces",1,1
2153,After he carried a gun in his car the engine was soon shot .,1,13
2158,The inventor of the fahrenheit scale solved the problem by degrees .,1,11
2159,If you don ' t know how to choose music ask a guitarist - they know how to pick .,1,19
2160,I bought a metronome for 20 bucks . You can ' t beat that price .,1,13
2161,My comb is invaluable - I can ' t part with it .,1,10
2163,A city worker who campaigned for new sewer pipes finally had to go underground .,1,14
2164,"She told a long story about a coil of rope , and then left us all hanging .",1,17
2165,When the tornado went through town it was quite a blow .,1,11
2166,The correct formula for concrete is worthwhile to cement in your mind .,1,9
2168,Henry perfected the Ford down to a T .,1,8
2169,"Those who choose not to eat , slowly get hungry - - and Fast .",1,14
2170,"The guitarist passed out on stage , he must have rocked himself to sleep .",1,11
2173,"Old hockey players never die , they just achieve their final goal .",1,12
2175,The two inventors of the radio were on the same wavelength .,1,11
2176,"For the orthodontist visit , the boy had to brace himself .",1,10
2177,Decimals have a point .,1,4
2178,Police can do a search if it ' s warranted .,1,10
2179,Archimedes set out to invent a water pump and screwed it up .,1,10
2180,"Old SOCCER PLAYERS never die , they just achieve their final goal .",1,12
2181,There was a sale at the fish market today . I went to see what was the catch .,1,18
2183,You often hear of a good wine through the grapevine .,1,10
2185,"He was selling palm trees , but people thought it was a shady deal .",1,13
2186,Why don ' t people like to talk to garbage men ? They mostly talk trash .,1,16
2187,I usually take steps to avoid elevators .,1,4
2191,My name is Iris . I ' m an optometrist,1,4
2192,Workers in an upholstery business demanded a wage hike to cushion the high cost of living .,1,11
2197,My name is Nick . I was a barber but I ' m looking for a new job .,1,4
2200,The guy who sold his carnival got a Fair deal .,1,9
2202,When the human cannonball was late for work he got fired .,1,11
2204,Old painters never die they just get plastered .,1,8
2207,My name is Carol . I sing during the holidays .,1,4
2208,Always trust a glue salesman . They tend to stick to their word .,1,10
2209,Archimedes was buoyant at the thought .,1,3
2210,Two airline pilots in a stand - up comedy did a takeoff .,1,12
2212,A friend told me he dug a hole in my backyard and filled it with water . I thought he meant well .,1,22
2213,"My name is Teddy , I ' m in lingerie",1,4
2214,Gardeners like to spring into action .,1,4
2216,Acrobats are always doing good turns .,1,6
2217," ' ' I invested in a high - tech startup , ' ' Adam ventured .",1,15
2220,Patients usually feel better after receiving hand transplants .,1,3
2222,Derringer had one shot at fame .,1,4
2223,Exxon - greasing the coastline for smoother boating !,1,7
2224,If you don ' t pay your exorcist you get repossessed .,1,11
2227,Those who like sport fishing can really get hooked .,1,9
2228,"If you have to pay to go to the river , we ' d better stop at the bank .",1,19
2229,You have to give credit to people who work in stores during a holiday - and many people do .,1,5
2231,Becoming a yoga instructor offers the possibilities of a unique teaching position .,1,12
2233,"Humpty Dumpty had a great fall - and a pretty good spring and summer , too .",1,6
2235,"The place that made rubber balls almost went bankrupt , but they bounced back .",1,13
2237,"Soon after he joined the band , the guitarist was instrumental .",1,11
2238,"Old geographers never die , they just become legends .",1,9
2239,Are giraffes good pets or are they too high maintenance ?,1,9
2240,The man who worked in the gum factory fell in a vat of bubblegum . His boss had to chew him out .,1,20
2241,"She was only a watchman ' s daughter , but any time suited her .",1,12
2242,Weather forecasters have to have lots of degrees .,1,8
2244,"Old sanitation men never die , they just waste away",1,9
2245,To become an electrician you have to pass a battery of tests .,1,10
2248,Old musicians never die they just get played out .,1,8
2249,"If you burn the candle on both ends , you ' re not as bright as you think .",1,13
2250,A student limped into class with a lame excuse .,1,8
227,I put all my spare cash into an origami business . It folded .,1,13
6,"86 of Borg : You will be assimilated . Would you believe , stood close to ?",0,-1
12,"Precepts teach , examples move .",0,-1
13,Diligent youth makes easy age .,0,-1
16,If you ' re a gardener you might call yourself a ' plant manager ' .,0,-1
17,You have two choices for dinner : Take it or Leave it .,0,-1
19,Jesus changes grave situations . Happy Easter .,0,-1
29,"My name is Sandy , I just hang around the beach .",0,-1
32,I ' ve met zucchini with more potential .,0,-1
33,My name is John . I ' m a plumber,0,-1
35,Stick em up ! < BANG > Okay . . . . DON ' T stick em ' up !,0,-1
36,Meaning of life : < deleted for lack of space >,0,-1
37,What if there were no hypothetical questions ?,0,-1
38,"Old statisticians never die , they just get broken down by age , sex and marital status .",0,-1
40,Time is money .,0,-1
42,"A wise man changes his mind , but a fool never does .",0,-1
49,Discretion is the better part of valor .,0,-1
52,One evening King Arthur ' s men discovered Sir Lancelot ' s moonshine whiskey operation and shattered the still of the knight .,0,-1
54,Better to be alone than in bad company .,0,-1
56,Elvis Stamps : Where will your mail be spotted next ?,0,-1
57,It ' s easy to be wise after the event .,0,-1
59,A big enough hammer can usually fix anything .,0,-1
64,Why do those that pay the least complain the most ?,0,-1
65,"If all appears to go well , you missed something . . .",0,-1
66,"Riker to Holodeck : "" Woman , 23 , hot . """,0,-1
68,"I ' ll have one brain on drugs with bacon , toast and juice .",0,-1
73,Bring me a rubber band and make it snappy !,0,-1
79,Misfortunes never come singly .,0,-1
82,Come in for a free makeover this Sunday,0,-1
84,96 . 37 % of all statistics are useless . .,0,-1
85,"Admitting a mistake : ' ' Like the orthopedist ' s patient , I stand corrected . ' '",0,-1
89,Willful waste makes woeful want .,0,-1
90,No one chills out in the fires of hell .,0,-1
94,Zeal without knowledge is a runaway horse .,0,-1
95,"I ' m NOT "" white , "" I ' m "" melanin - challenged . """,0,-1
97,Do not let adversity get you down unless you are on your knees,0,-1
98,"She was only a Wrestler ' s daughter , but you oughtta see her box . .",0,-1
101,One swallow does not make a summer .,0,-1
102,The ignorant always adore what they cannot understand .,0,-1
103,"I ' m dying , Zoey croaked .",0,-1
105,Suicidal dyslexic jumps behind train - film at 11,0,-1
111,"Garbage in , garbage out .",0,-1
112,A thief who stole a calendar got twelve months .,0,-1
114,Cross river * THEN * insult alligator .,0,-1
116,"My father slept under the bed , I think he was a little potty .",0,-1
118,Backup not found : ( A ) bort ( R ) etry ( P ) anic,0,-1
121,A bad settlement is better than a good lawsuit .,0,-1
122,Little by little and bit by bit .,0,-1
123,Barking dogs seldom bite .,0,-1
126,Hell ! . . . I had forgotten about that !,0,-1
127,"She was only a Pitcher ' s daughter , but you should have seen her curves .",0,-1
129,"Yes , you ' re right . Unfortunately , I don ' t really care .",0,-1
131,"To err is human , to forgive is against my policy",0,-1
132,My name is Bill . I run a collection agency,0,-1
133,"Old bakers never die , they just stop making lots of dough .",0,-1
134,"Tonight ' s forecast : Dark , scattered light toward dawn .",0,-1
139,"Old pineapple growers never die , they just get on the dole .",0,-1
143,A drowning man will clutch at a straw .,0,-1
146,The grass is always greener on the other side .,0,-1
150,Old electricians never die they just lose contact .,0,-1
151," ' ' Perhaps I will , ' ' said Nate with all his might .",0,-1
153,"- Call me a taxi . - OK , you ' re a taxi .",0,-1
155,"If you want her to show emotion , cut up her credit cards .",0,-1
158,Better safe than sorry .,0,-1
160,"Old statisticians never die , they just get mean .",0,9
166,"First deserve , then desire .",0,-1
168,You ' re so vain / I bet you think this tagline ' s about you,0,-1
171,You know the tree by its fruit .,0,-1
172,"Old miners never die , they just lose their veins .",0,-1
176,A perfect woman is one that is inflated to 40 psi .,0,-1
180,Ne ' er cast a clout till May be out .,0,-1
182,"Do not think that one enemy is insignificant , or that a thousand friends are too many .",0,-1
183,Dentists on death fill their last cavity .,0,-1
184,"I ' d love to , but my bathroom tiles need grouting .",0,-1
187,"Once the pin is pulled , Mr . Grenade is no longer a friend . . .",0,-1
189,To golf at your favorite course may require a long drive .,0,-1
190,Any key will commence hard drive format . Continue ( y / n ) ?,0,-1
192,"I ' m not afraid of flying , I ' m afraid of crashing .",0,-1
193,"She was only a catcher ' s daughter , but she had many balls bounce off her chin .",0,-1
194,Money talks .,0,-1
195,"Jesus did the only extreme world makeover , the flood",0,-1
197,Sign on an electrician ' s truck : Let us remove your shorts .,0,-1
198,"I like marching songs , in any month .",0,-1
199," ' ' I couldn ' t believe there were 527 , 986 bees in the swarm ! ' ' Jane recounted .",0,-1
200,""" I ' m sick ! I ought to be home in bed with a nurse . """,0,-1
204," ' ' I have to check the score on this exam again , ' ' Randy remarked .",0,-1
205,The dogs bark but the caravan passes on .,0,-1
208,The teacher asked a question and the students were all up in arms .,0,-1
210,"If you can ' t make it good , make it expensive .",0,-1
211,Little strokes fell great oaks .,0,-1
212,Faint heart never won fair lady .,0,-1
213,In the middle of difficulty lies opportunity .,0,-1
215,It ' s better to have loved and lost than never to have loved at all .,0,-1
216,A man ' s home is his castle .,0,-1
221,Did you hear about the guy whose whole left side was cut off ? He ' s all right now .,0,-1
230,"My name is Chuck , I ' m a butcher .",0,-1
231,"The pope , on his 2008 tour in the United States , skipped Mass .",0,-1
232,I ' ll have what the gentleman on the floor is having .,0,-1
237,"Old pilots never die , they just buzz off .",0,-1
239,"sophisticated , adj . deprived of its native simplicity .",0,-1
241,The Procrastinators Anonymous meeting has been delayed until next Wednesday,0,-1
244,Behind every great computer lies . . . a mess of wires !,0,-1
247,My name is Brooks . I ' m an irrrigation consultant,0,-1
248,"In zen skiing , you learn to become one with the snow .",0,-1
249,Missing the wood for the trees .,0,-1
252,"The more you stroke the cat ' s tail , the more he raises his back .",0,-1
253,"Are you a Klingon , or is that a turtle on your head ?",0,-1
256,My name is Wade and I ' m in swimming pool maintenance .,0,-1
257,Hell hath no fury like a woman scorned .,0,-1
262,I ' m a sap for tree jokes .,0,-1
263,Eschew Obfuscation !,0,-1
264,Monday is a hard way to spend 1 / 7 of your life .,0,-1
265,"Old cowboys never die , they just get the boot .",0,-1
268,Never lie to an x - ray technician . They can see right through you .,0,-1
271,There ' s no fool like an old fool .,0,-1
275,STICK \ ' stik \ n . 1 : A somewhat nonfunctional boomerang .,0,-1
278,A job circumcising elephants isn ' t so bad . The base salary is small but the tips are big .,0,-1
280,Working hard to become roadkill on the Infobahn .,0,-1
281,I never have understood how you ' re supposed to hit anything with a bat . . . . . it keeps flying away .,0,-1
287,My name is Sly . I ' m a detective .,0,-1
290,All humans are automatically born with a shopping disorder,0,-1
291,Talk of the devil and he ' s sure to appear .,0,-1
292,If an animal looses its tail it should shop at a retail store .,0,-1
295,"Love me tender / love me sweet / push me out at 12 , 000 ft",0,-1
297,""" Graphic Artist seeks Boss with vision impairment . """,0,-1
299,"More haste , less speed .",0,-1
302,Copper wire was invented by lawyers arguing over a penny .,0,-1
304,"I noticed that the sun was out , and nobody had bothered to relight it .",0,-1
307,You are an example of why some animals eat their young .,0,-1
309,Practice makes perfect .,0,-1
311,Cometh the hour cometh the man .,0,-1
312,"The Bagginses , they steals our taglines , precioussss . . . .",0,-1
313,He was a real gentlemen and always opened the fridge door for me .,0,-1
314,"and that , my leige , is how we know the Earth to be banana - shaped . . .",0,-1
316,Junior loved being a member of the wrestling team even though he was prone to lose .,0,-1
317,My house is really small until I can ' t find my phone.,0,-1
318,"I often think if I had taken a different path in life , I could be lying on a slightly more comfortable sofa right now .",0,-1
321,Seek water in the sea .,0,-1
322,"My dog can predict when an earthquake is going to happen , but television doorbell versus actual doorbell baffles him every time .",0,-1
326,Lose nothing for want of asking .,0,-1
328,What did the cell that got stepped on by it's sister say ? Mitosis .,0,-1
329,My name is Melody . A Musician,0,-1
331,The younger brother the better gentleman .,0,-1
332,"New religion ? I haven ' t used up the old one , yet !",0,-1
333,Why is the word abbreviation so long ?,0,-1
335,God works in mysterious ways .,0,-1
336,An egotist is a person who is more interested in himself than in me .,0,-1
337,"Three can keep a secret , if two of them are dead .",0,-1
339,"Doctor , Doctor , my hair is coming out . What can you give me to keep it in ? - A cigar box . Next .",0,-1
340,Once a thief always a thief .,0,-1
343,Loose lips sink ships .,0,-1
347,"Behind every man , there ' s a woman with nothing to wear .",0,-1
350,What did the beaver say when he fell in water ? Dam it .,0,-1
351,Beer : So much more than a breakfast drink .,0,-1
352,"I am not 40 , I ' m 18 with 22 years experience",0,-1
359,"I travel all over America , Ian stated .",0,-1
360,What is the best advice to give a worm ? Sleep late .,0,-1
370,"( a ) Fast , ( b ) Reliable , ( c ) Inexpensive - Pick Two .",0,-1
372,Take all things as they come and be content .,0,-1
373,"The golfer guessed that his ball landed 20 feet off the fairway . Of course , that was just a rough estimate .",0,-1
376,There is no time like the present .,0,-1
377,There is danger in delay .,0,-1
379,Procrastination Day Has Been Postponed !,0,-1
380,In an office : Would the person who took the step ladder yesterday kindly bring it back or further steps will be taken .,0,-1
381,"I wonder if dogs had facebook , would they put our picture as their profile picture ?",0,-1
382,When it was lumpy he had a beef with his gravy .,0,-1
383,A pop singer bought a new house for a song .,0,-1
384,There are as good fish in the sea as ever were caught .,0,-1
385,50 percent of something is better than one hundred percent of nothing .,0,-1
390,Why did the scarecrow get a promotion ? Because he was outstanding in his field .,0,-1
392,What do you call two bananas ? Slippers .,0,-1
393,Those working in tissue research and testing are always blowing it .,0,-1
395,"Doctor , Doctor , what would you take for this cold ? - Make me an offer . Next .",0,-1
396,"An undertaker can be one of your best friends , he is always the last one to let you down .",0,-1
397,Labor Day is a good time to stop and reflect on the august events the the preceding month .,0,-1
398,The show must go on .,0,-1
407,Multitasking = screwing up several things at once .,0,-1
408,How much room is needed for fungi to grow ? As mushroom as possible .,0,-1
410,"If all goes well , you ' ve overlooked something !",0,-1
413,"Hope for the best , but prepare for the worst .",0,-1
415,My name is Leo . A lion trainer .,0,-1
417,"When video arcades switched to a system of tokens , there was no quarter asked or given .",0,-1
419,Deep calls to deep .,0,-1
420,A young man married is a young man marred .,0,-1
421,How many programmers does it take to change a light bulb ? None . It ' s a hardware problem .,0,-1
425,Lunatic asylum : where optimism most flourishes .,0,-1
427,Cross the stream where it is shallowest .,0,-1
435,. . . So simple a child could do it ? Go find me a child !,0,-1
436,What you sow is what you reap .,0,-1
439,Curiosity killed the cat .,0,-1
441,What do you call a pine cone that creates exact replicas of itself ? A pine clone .,0,-1
444,"Success comes in cans , failure comes in cant ' s",0,-1
445,The spirit is willing but the flesh is weak .,0,-1
446,Three conspiracy theorists walk into a bar . You can ' t tell me that is just a coincidence .,0,-1
448,The worth of a thing is what it will bring .,0,-1
449,What is red and bad for your teeth ? A brick .,0,-1
450,"Dogs wags their tails , not as much to you as to your bread .",0,-1
453,"Any given program , once running , is obsolete .",0,-1
455,Who has not served cannot command .,0,-1
456,SYSOP \ ' sis ??p \ n : the person laughing as you type,0,-1
458,"Old typists never die , they just lose their justification .",0,-1
459,"No longer foster , no longer friend .",0,-1
460,Don ' t lend people money . It causes amnesia .,0,-1
461,That government is best which governs least .,0,-1
462,"I ' ll glue the sheets of wood back together , Jones replied .",0,-1
465,Empty vessels make the most sound .,0,-1
466,"To test a man ' s character , give him power .",0,-1
469,Nothing is so smiple that it can ' t get screwed up .,0,-1
470,Those who polish cars so that they shine work in a buffer zone .,0,-1
471,One rotten apple will spoil the whole barrel .,0,-1
472,None of you exist . The sysop types it all in . . .,0,-1
474,One secret of success is to know how to deny yourself and other people .,0,-1
475,One scabbed sheep mars the whole flock .,0,-1
476,"Better to remain silent and be thought a fool , than to open your mouth and remove all doubt .",0,-1
477,Today is a good day for you to jump in a lake .,0,-1
479,"When you give to god , you always get back change",0,-1
480,I ' m not paranoid ! Which of my enemies told you this ?,0,-1
484,Oh sure ! But what ' s the speed of dark ?,0,-1
489,A civil question deserves a civil answer .,0,-1
491,We don ' t read palms ; we wave them .,0,-1
492,Once a drunkard always a drunkard .,0,-1
494,Hire teenagers while they still know everything .,0,-1
498,My name is Herb . I ' m a cook .,0,-1
499,Who lives by hope will die of hunger .,0,-1
501,Take things as you find them .,0,-1
503,Have you ever heard a terrible joke ? Well now you have .,0,-1
507,The first chapter of fools is to think themselves wise .,0,-1
508,Great wine is like great jazz . It confuses me and I ' m pretty sure it ' s all the same .,0,-1
509,"Comedians , the biggest joke going .",0,-1
510,I ' m ! A ! Graduate ! Of ! The ! Bill ! Shatner ! Acting ! School !,0,-1
515,Speed doesn ' t kill . Stopping very fast kills .,0,-1
517,"If you want a thing done right , do it yourself .",0,-1
518,"Hey , is this yours ? Your dog left it on my lawn . . .",0,-1
519,Fretting cares make grey hairs .,0,-1
521,""" Bother , "" said Pooh , as he torched the forest . . . . .",0,-1
524,When I was a kid I wanted to be a brain surgeon . But apparently I was too young .,0,-1
527,Sign in an electrician ' s shop : ' We will refuse you . ',0,-1
528,Do not add oil to the fire .,0,-1
530,"Laugh and the world laughs with you , cry and you cry alone .",0,-1
532,What do you call a snake that works in the government ? A civil serpent .,0,-1
533,Don ' t kill the goose that lays the golden eggs .,0,-1
534,What does an invisible watermelon look like ? Like that .,0,-1
536,"If ignorance is bliss , why aren ' t there more happy folks ?",0,-1
537,Love is blind .,0,-1
539,SHIN : A device for finding furniture in the dark,0,-1
541,"Like father , like son .",0,-1
551,Life ' s essentials : H O C N Ca P Cl K S Na Mg,0,-1
552,Math teachers have lots of problems .,0,-1
557,"To anyone suffering from paranoia , you are not alone .",0,-1
560,He gives twice who gives in a trice .,0,-1
561,A truly wise man never plays leapfrog with a unicorn .,0,-1
562,There is no smoke without fire .,0,-1
564,Put a beggar on horseback and he ' ll ride it to death .,0,-1
567,Send $ 20 and I will double your IQ or no money back,0,-1
568,He who lends to the poor gets interest from god,0,-1
573,What gives you the power to walk through walls ? Doors .,0,-1
574,Man with authority walks into a bar and orders everyone a round .,0,-1
577,The first step to health is to know that we are sick .,0,-1
578,Why did the skeleton not go to the party ? Because he had no body to go with .,0,-1
581,"You ' ve heard of alphabet soup , now get ready for Times New Ramen .",0,-1
583,Ultimate office automation : networked coffee machines .,0,-1
584,"I used to think I was indecisive , but now I ' m not too sure .",0,-1
585,A rolling stone gathers no moss .,0,-1
589,Curiosity didn ' t kill the cat . I got ' im with the mower !,0,-1
591,"The stock market crashes , but Viagra beats the flop .",0,-1
592,Plagiarism is the sincerest form of flattery .,0,-1
601,What happens when you get scared half to death . . . . . twice ?,0,-1
603,Put your money where your mouth is .,0,-1
605,If all your troubles are melting away watch out for the floods .,0,-1
606,Justice delayed is justice denied .,0,-1
608,I told my girlfriend she drew her eyebrows too high . She looked surprised,0,-1
610,"Profanity , the language of computer professionals",0,-1
611,If I want your opinion I ' ll beat it out of you !,0,-1
613,All good things must come to an end .,0,-1
616,"If it ' s obvious , it ' s obviously wrong .",0,-1
617,""" WHO CARES where Carmen Sandiego is ? """,0,-1
618,"Intelligence is the first thing I look for in a woman . Because if she doesn ' t have that , I may just have a chance .",0,-1
619,"I love Switzerland . I ' m not sure what the best thing about it is , but their flag is a big plus .",0,-1
626,Give and you might receive . Take and be sure of it .,0,-1
629,My wife accused me of not having any empathy . I don ' t understand why she feels that way .,0,-1
631,"My dog often used to chase people he saw on a bike . It got so bad , I finally had to take his bike away .",0,-1
632,"Here , you go first , you ' re immune to bullets .",0,-1
633,I wish Noah had swatted those two mosquitoes . . . . .,0,-1
634,What would you call Superman if he was a thief ? Man of Steal .,0,-1
638,I quit my job to start a cloning business and it has been great . I love being my own boss .,0,-1
639,"When all is said and done , more is said then done .",0,-1
641,A half truth is a whole lie .,0,-1
642,The thief had a bold plan . He figured he could carry it off .,0,-1
643,A clean house is the sign of a broken computer .,0,-1
644,Love is telling someone to go to hell and worrying about them getting there safely .,0,-1
645,Where God has a church the devil will have his chapel .,0,-1
646,"Everyday is a gift from god , that is why it is called the present",0,-1
647,A low yield atomic bomb is like being a bit pregnant .,0,-1
648,There ' s no high like the most high .,0,-1
649,"If I were incredibly rich , I would hire two private investigators , and get them to follow each other .",0,-1
651,God cures and the physician takes the fee .,0,-1
652,A cynic smells flowers and looks for the casket .,0,-1
653,It takes all sorts of people to make a world .,0,-1
654,"To the guy who stole my antidepressants , I hope you are happy .",0,-1
665,Federal Law prohibits the removal of this tagline,0,-1
668,Never laugh at your boyfriend ' s choices . You are one of them .,0,-1
669,Press any key to continue . . Any other key to format hard drive .,0,-1
670,Improve your memory by doing unforgettable things .,0,-1
678,A book just fell on my head . I ' ve only got my shelf to blame .,0,-1
679,My job is secure . No one else wants it .,0,-1
682,A girl a day keeps the wife away .,0,-1
683,Suicidal twin kills sister by mistake . . . news at 11 !,0,-1
685,Haste makes waste .,0,-1
687,"I am a nobody , nobody is perfect , therefore I am perfect .",0,-1
689,I bet you I could stop gambling .,0,-1
690,It ' s bad luck to be superstitious .,0,-1
696,Time flies .,0,-1
700,Where do they get the seeds to plant seedless watermelons ?,0,-1
702,"Walk softly , carry a big stick .",0,-1
706,"Fool me once , shame on you . Fool me twice , shame on me .",0,-1
709,"First come , first served .",0,-1
710,Communist jokes aren ' t funny unless everyone gets them .,0,-1
716,"Christians , keep the faith . . . but not from others !",0,-1
719,Someone who gossips to you will gossip about you .,0,-1
720,A little greed can get you lots of stuff,0,-1
721,"Every time I find the meaning of life , they change it .",0,-1
722,"Money is the Root of All Evil . For more info , send $ 10 .",0,-1
723,"I like birthdays , but I think too many can kill you .",0,-1
724,Don ' t go between the tree and the bark .,0,-1
725,Mind your P ' s and Q ' s .,0,-1
729,"My son wanted a scooter . When I told him they are too dangerous , he moped around the house .",0,-1
730,"Spare the rod , spoil the child .",0,-1
731,What do dolphins have that no other mammals have ? Baby dolphins .,0,-1
733,A career is a job that takes about 20 more hours a week .,0,-1
734,Strip mining prevents forest fires .,0,-1
736,"In parking lots , arguments often start from scratch .",0,9
739,Good eating deserves good drinking .,0,-1
743,You can ' t have your cake and eat it too .,0,-1
746,Always remember you ' re unique - just like everyone else .,0,-1
747,"If you make yourself into a doormat , people will wipe their feet on you .",0,-1
749,Did you hear about the readhead who opened a bakery ? He was the ginger bread man .,0,-1
750,Don ' t put all your eggs in one basket .,0,-1
752,"Whom God will destroy , he first make mad .",0,-1
755,Home sweet home .,0,-1
757,The pen is mightier than the sword .,0,-1
758,I work to buy a car to go to work .,0,-1
759,"If I had a face like yours , I ' d sue my parents .",0,-1
760,You ' re slower than a herd of turtles stampeding through peanut butter .,0,-1
762,There ' s only one problem with your face : I can see it .,0,-1
763,Behind every great man is a woman rolling her eyes .,0,-1
766,How many ants does it take to rent a house ? Ten ants .,0,-1
772,"If you trust before you try , you may repent before you die .",0,-1
773,Tit for tat .,0,-1
776,War is too important to be left to the generals .,0,-1
777,"No one knows where the shoe pinches , but he who wears it .",0,-1
781,""" Ummm , trouble with grammar have I ? Yes ! "" - - Yoda",0,-1
782,PRESS To test . < click > RELEASE to detonate .,0,-1
784,I ' ll hear it from the horse ' s mouth .,0,-1
786,Don ' t make clothes for a not yet born baby .,0,-1
794,Success is just a matter of luck . Ask any failure .,0,-1
795,Counsel is no command .,0,-1
797,The boughs that bear most hang lowest .,0,-1
798,A jerk present in a group indicates a jerk in charge .,0,-1
801,A man ' s best fortune or his worst is a wife .,0,-1
803,"If anything can go wrong , it will .",0,-1
805,"Firefighters can rescue you , but only Jesus saves .",0,-1
809,If Version 1 . 0 works someone goofed . . .,0,-1
813,The best place for criticism is in front of your mirror .,0,-1
816,A picture is worth a thousand words .,0,-1
818,Half a loaf is better than no bread .,0,-1
820,"Elephants will toil all day , and they work for peanuts .",0,-1
822,Iron sharpens iron .,0,-1
823,A new broome sweepeth cleane .,0,-1
824,"Take my advice , I don ' t use it anyway .",0,-1
826,You can catch more flies with a drop of honey than with a barrel of vinegar .,0,-1
827,The world is your oyster .,0,-1
829,What do you call a tick that lives on the moon ? A lunatic .,0,-1
830,Better late than never .,0,-1
837,The voice of the people is the voice of god .,0,-1
839,Keyboard not connected . Think F1 to continue .,0,-1
840,If you snooze you lose .,0,-1
842,You can ' t see the wood for the trees .,0,-1
844,"If someone steals your fruit , you have to let that mango .",0,-1
846,Don ' t judge a book by its cover .,0,-1
847,"Doctor , Doctor , I can ' t get to sleep . - Sit on the edge of the bed and you ' ll soon drop off . Next .",0,-1
849,Truth is stranger than fiction .,0,-1
850,To our sweethearts and wives . May they never meet !,0,-1
851,What happens to a frog ' s car when it breaks down ? It gets toad away .,0,-1
858,Hands in Prayer : Already Digital,0,-1
859,Life imitates art .,0,-1
865,"It ' s the Borg ! ! Quick , everyone try to look useless !",0,-1
867,"Professionals built the Titanic , amateurs built the ark .",0,-1
869,"If the shoe fits , wear it .",0,-1
873,When the investor came home from work he was spent .,0,-1
874,"We are born crying , live complaining , die disappointed",0,-1
875,"Courage lost , all lost .",0,-1
877,"I , for one , like Roman numerals .",0,-1
879,Resist everything but temptation .,0,-1
883,It ain ' t over till it ' s over .,0,-1
884,What bow can ' t be tied ? A rainbow .,0,-1
885,What do lawyers wear for work ? Lawsuits .,0,-1
886,Never go to bed angry . Stay awake and plot your revenge .,0,-1
887,"A man of words and not of deeds , is like a garden full of weeds .",0,-1
889,"How do people lose their kids at the mall ? Seriously , any tips would be greatly appreciated .",0,-1
892,There is no royal road to learning .,0,-1
893,People who live in glass houses shouldn ' t throw stones .,0,-1
894,Bathroom scale : Something you stand on and swear at .,0,-1
896,Why do crabs never share ? Because they ' re shellfish .,0,-1
897,Consciousness : that annoying time between naps .,0,-1
899,Gotta run . . . the cat ' s caught in the printer again !,0,-1
904,"In the house of the hanged man , mention not the rope .",0,-1
905,He who does not advance goes backwards .,0,-1
909,Call me if you need my phone number !,0,-1
916,We never really grow up . We only learn how to act in public .,0,-1
919,"Measure twice , cut once .",0,-1
921,What you see is what you get .,0,-1
926,I use artificial sweetener at work . I add it to everything I say to my boss .,0,-1
927,"Lead me not into temptation , I can find my own way",0,-1
928,Some mistakes are too much fun to only make once .,0,-1
929,"If it ' s not Valentine ' s Day and you see a man in a flower shop , you can probably start up a conversation by asking , ' What did you do ? '",0,-1
930,People tell me I ' m indecisive . Am I ? I ' m not sure .,0,-1
931,Don ' t be sexist ! Chicks hate that .,0,-1
932,"And on the seventh day , He took an aspirin .",0,-1
933,"Brag is a good dog , but holdfast is better .",0,-1
934,I don ' t have an attitude problem . You have a perception problem .,0,-1
935,There is no little enemy .,0,-1
936,This just in : Research causes cancer in rats !,0,-1
938,"I never forget a face , but in your case I ' ll be glad to make an exception .",0,-1
944,There ' s more than one way to skin a cat .,0,-1
945,I ' m not a Facebook status . You don ' t have to like me .,0,-1
947,Don ' t burn the candle at both ends .,0,-1
948,At what age is it appropriate to tell my dog that he ' s adopted ?,0,-1
